customer_id,product_id,licenses_purchased,purchase_date,licenses_activated,activation_date,usage_last_month,usage_last_quarter,usage_last_year,expiration_date,activation_date_only,activation_time_only
3649,P13,52,2020-06-16 07:58:59,32,2020-07-22 11:00:09,15,24,24,2023-06-16 07:58:59,2020-07-22,11:00:09
9013,P126,62,2015-09-09 21:11:37,4,2015-12-25 00:46:39,1,2,2,2018-09-08 21:11:37,2015-12-25,00:46:39
9013,P126,96,2018-09-08 12:00:23,89,2018-09-25 04:50:23,66,66,83,2021-09-07 12:00:23,2018-09-25,04:50:23
9013,P126,2,2021-09-07 04:20:58,1,2025-04-19 20:05:15,1,1,1,2024-09-06 04:20:58,2025-04-19,20:05:15.129762
7315,P72,17,2015-03-22 04:55:48,16,2015-04-09 20:27:52,3,4,5,2018-03-21 04:55:48,2015-04-09,20:27:52
7315,P72,29,2018-03-21 08:26:03,26,2025-01-06 19:58:13,0,0,0,2021-03-20 08:26:03,2025-01-06,19:58:13.129762
3359,P347,62,2016-12-05 16:56:26,39,2017-05-21 13:06:41,4,11,15,2019-12-05 16:56:26,2017-05-21,13:06:41
3359,P347,56,2019-12-05 00:26:04,38,2025-02-24 19:47:04,2,2,2,2022-12-04 00:26:04,2025-02-24,19:47:04.129762
17871,P45,69,2017-05-27 09:54:30,41,2017-10-06 01:19:18,2,2,2,2020-05-26 09:54:30,2017-10-06,01:19:18
17871,P45,76,2020-05-26 21:38:38,71,2020-11-13 15:47:08,38,57,71,2023-05-26 21:38:38,2020-11-13,15:47:08
19350,P217,35,2015-05-21 09:38:32,17,2015-07-19 20:38:29,6,11,12,2018-05-20 09:38:32,2015-07-19,20:38:29
19350,P217,45,2018-05-20 06:52:21,19,2018-10-01 04:18:38,12,12,16,2021-05-19 06:52:21,2018-10-01,04:18:38
1042,P16,88,2017-04-22 22:34:35,46,2017-07-15 05:26:04,3,5,15,2020-04-21 22:34:35,2017-07-15,05:26:04
1042,P16,82,2020-04-21 06:38:50,31,2025-03-01 01:59:09,5,9,16,2023-04-21 06:38:50,2025-03-01,01:59:09.129762
3071,P112,33,2017-10-03 12:52:35,7,2018-01-12 12:56:47,1,1,1,2020-10-02 12:52:35,2018-01-12,12:56:47
7624,P259,36,2019-10-27 18:26:12,32,2024-12-05 19:49:42,2,2,2,2022-10-26 18:26:12,2024-12-05,19:49:42.129762
19727,P14,7,2015-06-25 02:17:06,0,,1,1,1,2018-06-24 02:17:06,,
18391,P102,27,2020-11-14 21:36:03,1,2020-11-18 00:57:42,1,1,1,2023-11-14 21:36:03,2020-11-18,00:57:42
17857,P215,97,2019-10-19 17:22:53,34,2024-09-04 07:39:40,4,5,13,2022-10-18 17:22:53,2024-09-04,07:39:40.129762
7224,P230,63,2019-05-26 03:15:54,15,2025-03-17 04:49:02,1,2,5,2022-05-25 03:15:54,2025-03-17,04:49:02.129762
19310,P143,28,2019-07-15 03:54:05,7,2019-10-29 02:22:33,3,7,7,2022-07-14 03:54:05,2019-10-29,02:22:33
213,P389,68,2020-08-14 10:01:31,43,2020-12-23 05:26:24,4,9,15,2023-08-14 10:01:31,2020-12-23,05:26:24
5232,P358,52,2018-03-26 06:20:22,13,2018-07-08 14:36:07,8,9,10,2021-03-25 06:20:22,2018-07-08,14:36:07
5232,P358,61,2021-03-25 00:43:59,61,2025-01-02 08:01:02,36,37,42,2024-03-24 00:43:59,2025-01-02,08:01:02.129762
13849,P175,33,2018-02-14 07:17:23,22,2018-04-22 22:27:33,8,10,18,2021-02-13 07:17:23,2018-04-22,22:27:33
13849,P175,47,2021-02-13 07:05:45,3,2021-03-26 09:45:29,0,0,1,2024-02-13 07:05:45,2021-03-26,09:45:29
9106,P80,24,2021-07-09 13:19:10,7,2021-11-20 15:34:05,4,4,4,2024-07-08 13:19:10,2021-11-20,15:34:05
7056,P491,61,2016-05-18 13:57:10,60,2016-07-18 14:48:22,2,7,20,2019-05-18 13:57:10,2016-07-18,14:48:22
7056,P491,35,2019-05-18 17:07:49,11,2019-09-15 10:56:12,0,0,0,2022-05-17 17:07:49,2019-09-15,10:56:12
11030,P53,22,2021-01-11 16:52:01,8,2025-05-10 15:25:13,2,3,6,2024-01-11 16:52:01,2025-05-10,15:25:13.129762
3040,P195,59,2017-08-08 22:07:45,11,2017-10-12 03:48:23,0,0,0,2020-08-07 22:07:45,2017-10-12,03:48:23
3040,P195,49,2020-08-07 00:18:29,8,2020-12-21 16:02:17,7,8,8,2023-08-07 00:18:29,2020-12-21,16:02:17
3170,P184,92,2015-10-19 08:33:59,51,2016-02-01 14:06:53,2,7,16,2018-10-18 08:33:59,2016-02-01,14:06:53
3170,P184,77,2018-10-18 09:07:38,47,2019-02-01 21:31:57,26,40,42,2021-10-17 09:07:38,2019-02-01,21:31:57
3170,P184,97,2021-10-17 06:27:49,2,2025-07-08 15:27:03,0,0,0,2024-10-16 06:27:49,2025-07-08,15:27:03.129762
11271,P310,60,2018-08-23 06:29:08,23,2025-06-19 18:59:33,0,0,0,2021-08-22 06:29:08,2025-06-19,18:59:33.129762
8668,P414,77,2020-07-03 11:52:32,37,2025-01-28 13:49:34,1,1,1,2023-07-03 11:52:32,2025-01-28,13:49:34.129762
1424,P374,96,2015-02-05 17:17:03,91,2024-09-06 21:52:14,18,22,27,2018-02-04 17:17:03,2024-09-06,21:52:14.129762
15055,P275,67,2017-01-26 14:48:31,15,2017-05-18 06:51:13,2,2,2,2020-01-26 14:48:31,2017-05-18,06:51:13
4091,P499,85,2016-07-11 23:46:40,56,2016-09-19 03:56:28,0,0,0,2019-07-11 23:46:40,2016-09-19,03:56:28
12404,P41,39,2016-01-02 04:12:26,0,,1,1,1,2019-01-01 04:12:26,,
18090,P151,33,2018-09-19 00:04:10,13,2018-09-29 08:50:40,0,0,0,2021-09-18 00:04:10,2018-09-29,08:50:40
18090,P151,60,2021-09-18 05:59:43,58,2022-01-23 09:05:25,19,27,27,2024-09-17 05:59:43,2022-01-23,09:05:25
11851,P296,71,2015-10-18 20:42:20,42,2016-03-02 01:25:03,2,2,2,2018-10-17 20:42:20,2016-03-02,01:25:03
11851,P296,67,2018-10-17 19:49:57,35,2018-12-20 03:41:58,6,9,14,2021-10-16 19:49:57,2018-12-20,03:41:58
11851,P296,64,2021-10-16 01:37:19,51,2021-12-21 05:29:28,10,13,22,2024-10-15 01:37:19,2021-12-21,05:29:28
6301,P361,52,2015-07-24 18:21:19,26,2015-08-15 01:31:58,4,8,8,2018-07-23 18:21:19,2015-08-15,01:31:58
6301,P361,8,2018-07-23 12:52:27,6,2018-09-02 02:22:28,2,3,5,2021-07-22 12:52:27,2018-09-02,02:22:28
